"init_id","title","init_text"
"09-0021","ALLOWS INSURANCE COMPANIES TO INCREASE OR DECREASE THE COST OF AUTO INSURANCE BASED ON A DRIVER’S COVERAGE HISTORY.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0021%20%28i818_initiative_09-0021%29.pdf"
"09-0020","REPEALS RECENT LEGISLATION THAT WOULD ALLOW BUSINESSES TO CARRY BACK LOSSES, SHARE TAX CREDITS, AND USE A SALES-BASED INCOME CALCULATION.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0020%20%28i817_initiative_09-0020%29.pdf"
"09-0019","CALLS A CONVENTION TO DRAFT NEW STATE CONSTITUTION.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0019%20%28i816_initiative_09-0019%29.pdf"
"09-0018","CHANGES CONSTITUTION TO ALLOW VOTERS TO CALL A CONSTITUTIONAL CONVENTION WITH AN INITIATIVE.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0018%20%28i815_initiative_09-0018%29.pdf"
"09-0017","""The Continuous Coverage Auto Insurance Discount Act.""","http://oag.ca.gov/system/files/initiatives/pdfs/09-0017%20%28i814_initiative_09-0017%29.pdf"
"09-0016","CHANGES THE VOTE REQUIREMENT TO PASS A BUDGET OR RAISE TAXES FROM TWO-THIRDS TO THREE-FIFTHS.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0016%20%28i813_initiative_09-0016%29.pdf"
"09-0015","NEW TWO-THIRDS VOTE REQUIREMENT FOR LOCAL PUBLIC ELECTRICITY PROVIDERS.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0015%20%28i812_initiative_09-0015%29.pdf"
"09-0014","MANDATORY DRUG AND ALCOHOL TESTING FOR MEMBERS OF THE LEGISLATURE.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0014%20%28i811_initiative_09-0014%29.pdf"
"09-0013","PART-TIME LEGISLATURE. INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0013%20%28i810_initiative_09-0013%29.pdf"
"09-0012","REQUIREMENT FOR LEGISLATORS TO CERTIFY THAT THEY UNDERSTAND LEGISLATION AND HAVE NOT ACCEPTED A BRIBE OR ENGAGED IN ILLEGAL VOTE SWAPPING.   INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0012%20%28i809_09-0012_amdt_2ns%29.pdf"
"09-0011","REINSTATES RIGHT OF SAME-SEX COUPLES TO MARRY. INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0011%20%28i808_initiative_09-0011%29.pdf"
